擔保品細項,細項名稱,建物分類,建物用途,EUI,EUI_Cold-dry,EUI_Cold-humid,EUI_Hot-dry,EUI_Hot-humid,EUI_Hot-marine,EUI_Mixed-dry,EUI_Mixed-humid,EUI_Mixed-marine
31,純建物(商業),科技/科學,實驗室,363.72,304.06,411.39,209.68,339.78,712.95,360.71,365.53,205.69
31,純建物(商業),個人服務,乾洗店、鞋修理店、鎖匠、沙龍等,151.1,126.32,170.91,87.11,141.16,296.19,149.85,151.86,85.45
31,純建物(商業),公有設施,飲用水處理,7.26,6.07,8.21,4.18,6.78,14.22,7.2,7.29,4.1
31,純建物(商業),公有設施,能源/發電站,126.5,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
31,純建物(商業),倉庫/倉儲,自存倉,63.72,53.27,72.07,36.74,59.53,124.91,63.2,64.04,36.04
31,純建物(商業),倉庫/倉儲,配送中心,71.61,59.86,80.99,41.28,66.89,140.36,71.02,71.96,40.5
31,純建物(商業),倉庫/倉儲,非冷藏倉庫,71.61,59.86,80.99,41.28,66.89,140.36,71.02,71.96,40.5
31,純建物(商業),倉庫/倉儲,冷藏倉庫,265.3,221.78,300.07,152.94,247.83,520.03,263.1,266.62,150.03
32,其他,全部平均,全部平均,,,,,,,,,
33,停車位,全部平均,全部平均,,,,,,,,,
